DifficultyDate,SubmissionDate,ReceivingRegionCode,ReceivingDistrictOffice,JASCCode,AircraftMake,AircraftModel,AircraftTotalTime,AircraftTotalCycles,PartName,PartCondition,PartLocation,Discrepancy,Year,Month
2022-04-19,2022-05-03 15:12:00,SW,29.0,5753.0,BOEING,737,59846.0,35439.0,NONE,CRACKED,R/H WING,SUPPLEMENTAL INFORMATION: CRACK FOUND AT RIGHT I/B MAIN FLAP LOWER SURFACE AT REWORKED AREA 29.5 INCHES FROM O/B EDGE AND 4.5' FROM TRAILIN EDGE . DOT 15. / [01] MEASUREMENTS;[02] CUT OUT DENT CRACK DAMAGE SIZE 1.250 DIA. NO CORE DAMAGE; PERFORMED DRY OUT ON REPAIR AREA FOUND NO WATER ON R/W I/B MAIN FLAP LOWER SURFACE 29.5' FROM O/B EDGE AND 4.5 FROM T/E AS PER B737 SRM 51-70-10-2R-4;[03] FABRICATE FILLER AND DOUBLER ; CLEANED PARTS WITH BOEGEL AC-130 AND APPLIED ADHESIVE PRIMER BR127 AS PER B737 SRM 51-70-10-2R-4 MATERIALS USED PO# 1672474; PO#1717122; PO#1739742;[04] ACCOMPLISHED TRAILING EDGE FLAP SYSTEM DEACTIVATION . INSTALLED LOCK ON FLIGHT CONTROL FLAP SHUTOFF VALVE REF B737-700 AMM 27-51-00-040-801;[05] VERIFIED STEPS # 1; 2; 3; AND 4;[06] OK TO INSTALL REPAIR;[07] REPAIRED DENT CRACK DAMAGE WITH A PERMANENT HOT BOND REPAIR ON R/W I/B MAIN FLAP LOWER SURFACE AT 29.5' FROM O/B EDGE AND 4.5' FROM T/E AS PER B737 SRM 51-70-10-2R-4 MATERIALS USED PO#1717122; PO# 1723249; PO#1672474; AND PO# 173974;[08] PERFORMED TAP TEST ON REPAIRED AREA FOUND NO DELAMINATION ASPER B737 NDT 51-05-01 SECTION5;[09] PAINTED REPAIR AREA AT R/W I/B MAIN FLAP LOWER SURFACE PER B737 AMM 51-21-300-802 PO#1750464;[10] VERIFIED 7-9.;[11] ADDITIONAL REFFRENCE IN STEP 2 : B737 SRM 57-53-01-2R-7 PARAGRAPH 4.B,2022.0,5.0
2022-04-12,2022-04-18 15:12:00,SO,27.0,5321.0,BOEING,75726D,48592.0,22949.0,FLOOR SUPPORT,CORRODED,,SHIP 6821 CORROSION ON FLOOR SUPPORTS BETWEEN STA S- 23L AND S-27L AT STA 740 IN FWD CARGO COMPARTMENT. CORRECTIVE ACTION: SUMMARY OF NRC 00180 - FLOOR SUPPORTS BETWEEN STA S-23L AND S-27L AT STA 740 IN FWD CARGO COMPARTMENT WAS REPLACED PER B757-200 SRM. (2192761),2022.0,4.0
2022-06-05,2022-06-06 10:02:00,CE,23.0,5347.0,BOEING,767300,15930.0,6393.0,SEAT TRACK,DAMAGED,ZONE 200,"MAIN DECK FLOOR SEAT TRACK DAMAGED AT STA610 10, RBL11. REPAIRED THE MAIN DECK DAMAGED FLOOR SEAT TRACK PER B767 SRM53-00-52-2R REPAIR 9 & EA H-5310-T0368785 P1. TITLE: FUSELAGE - MAINFRAME - DAMAGE ON MAIN DECK FLOOR SEAT TRACK AT RBL11 STA610 10 - SRM REPAIR WITH MINOR DEVIATIONS. THIS IS CATEGORY A REPAIR. MAJOR REPAIR IAW FEDEX GMM6-2-100.",2022.0,6.0
2022-02-21,2022-02-21 05:09:00,SW,27.0,5350.0,BOEING,737824,65644.0,22542.0,PANEL,MISSING,193CR,PDA 1 FOUND PANEL 193CR PARTIALLY MISSING AND DAMAGED ON WALK AROUND UPDATED WITH PICTURES PANEL REMOVED WITH PIC INSTALLED PANEL 193CR. REF AMM 53-51-21-400-802.,2022.0,2.0
2021-01-06,2021-01-07 09:07:00,SO,27.0,3350.0,BOEING,767332,106676.0,15632.0,LIGHT,UNSECURE,ROW 26 LT,EMERGENCY LIGHT ASSEMBLY AT ROW 26L WILL NOT STAY SECURED. RESECURED LIGHT ASSEMBLY. SYSTEM OPERATION IS NORMAL.,2021.0,1.0
2021-03-03,2021-03-10 16:31:00,CE,23.0,2750.0,BOEING,757236,36122.0,22004.0,RELIEF VALVE,FAILED,TE FLAPS,"TE FLAP DISAGREE DECLARED AN EMERGENCY. SELECTED FLAPS 25@ 170 KTS. DID NOT EXCEED 137KTS ON THE GO AROUND ON THE GO AROUND AND VECTORS BACK TO FINAL. COMPLIED WITH MTSI 27-50/6926, NO FAULTS NOTED. VERIFIED FLAP HANDLE POSITION IS WITHIN LIMITS WITH PDU AND LEFT/RIGHT FLAP POSITION TRANSMITTERS, REF MM27-58-01-5. RAN FLAPS SEVERAL TIMES WITH ELECTRIC PUMPS, NO FAULTS NOTED. PERFORMED ENGINE RUN WITH LEFT ENGINE HYD PUMP SUPPLYING POWER, FLAPS WOULD COME TO A BRIEF STOP BETWEEN 20 DEGREES AND 25 DEGREES. SUGGEST R&R LEFT SYSTEM PRESSURE RELIEF VALVE REF MM 29-11-29-4. THIS VALVE HAS A HISTORY OF CAUSING THIS PROBLEM, REF MX CONTROL. REMOVED AND INSTALLED LEFT SYSTEM RELEIF VALVE IAW AMM 29-11-29-4 . LEAK AND OPS CHECK GOOD. REMOVED AND REPLACED LH EPD IAW AMM 29-05-4-1, LEAK AND OPS CHECK GOOD.",2021.0,3.0
2021-04-18,2021-04-20 14:47:00,SO,27.0,2751.0,BOEING,75726D,42324.0,21058.0,LEVER,STUCK,FLAP HANDLE ASSY,"SHIP 6823-MISC/DE-ON APPROACH, T/E FLAP DISAGREE BETWEEN 20-25, FLAP LEVER STUCK. ON GO AROUND, FLAP HARD TO MOVE TO 5 AND STAYED 20-25. FLAPS MOVED NORMALLY IN ALTERNATE. CORRECTIVE ACTION: FOUND FLAP HANDLE ASSY BINDING INTO AND OUT OF 0 DETENT. VERIFIED LOWER HANDLE ROLL PIN INSTALLED AND SAFETIED. LUBED FLAP HANDLE. NO FOD FOUND BY FLAP HANDLE, NO FLAP TRANSMISSIONS TRIPPED OR KNIFING OF SCREW ROLLERS, XFER TUBES OK. SAFETIED FLAP PDU CABLES AND VERIFIED TENSION, ALSO VERIFIED INDEX MARKS ON FLAP PDU OUTPUT CAM. FLAP CABLE TENSION WAS LOW. ADJUSTED TENSION. SERVICED TRANSMISSIONS. LUBED FLAPS. CHECKED TRANSMITTERS. ALL WITHIN RANGE. REPLACED FLAP CONTROL VALVE. OPS NORMAL WITH NO BINDING.",2021.0,4.0
2021-03-23,2021-03-24 14:41:00,CE,23.0,5321.0,BOEING,7673S2F,11381.0,4297.0,FLOOR PANEL,DAMAGED,MAIN DECK,MAIN DECK FLOOR PANEL 241FFF DENTED REPAIRED FLOOR PANEL IAW B767 SRM 53-00-50-2R,2021.0,3.0
2021-09-13,2021-09-15 13:48:00,EA,15.0,2760.0,BOEING,74747UF,95527.0,16489.0,MECHANISM,FAULTED,SPEED BRAKE,ON CLIMB AILERON CONTROLS LAG AND BIND. REPLACED SPEED BRAKE SEQUENCE MECHANISM IAW AMM 27-62-06.,2021.0,9.0
2021-06-11,2021-06-15 14:37:00,SW,29.0,3350.0,BOEING,7377Q8,48125.0,25687.0,CHARGER,INOPERATIVE,EMERGENCY LIGHTS,R/H OVERWING UPPER + LOWER EMERGENCY EXIT LIGHTS INOP ; / R/R BATTERY PACK AND CHARGER M1669. PERFORMED OPS CHECK FOUND BATTERY PACK M1675 INOP. R/R BATTERY PACK AND CHARGER M1675 IAW AMM 33-51-06. OPS CHECKS GOOD.,2021.0,6.0
